id,section,section_id,submitted,attempt,3308913: Men are more capable than women at solving design and interaction problems.,1.0,3308932: Students who are skilled at human computer interaction are less popular than other students.,1.0.1,3308912: I doubt that a woman could excel in human computer interaction courses.,1.0.2,3308910: I do not like using design and interaction to solve problems.,1.0.3,3308934: I have role models in human computer interaction who look like me.,1.0.4,3308904: Men and women are equally capable of solving design and interaction problems.,1.0.5,3308901: I have little self-confidence when it comes to design and interaction courses.,1.0.6,3308918: A student who performs well in human computer interaction is likely to have a life outside of computers.,1.0.7,3308908: The challenge of solving problems using design and interaction does not appeal to me.,1.0.8,3308924: I am comfortable with learning design and interaction concepts.,1.0.9,3308902: I do not think that I can learn to understand design and interaction concepts.,1.0.10,3308906: I doubt that I can solve problems by applying design skills.,1.0.11,3308923: I can achieve good grades (C or better) in human computer interaction courses.,1.0.12,3308916: Men are more likely to excel in careers that involve design and interaction than women are.,1.0.13,3308930: It is not appropriate for women to study design and interaction.,1.0.14,3308909: I like to use design and interaction to solve problems.,1.0.15,3308925: I am confident that I can solve problems by applying design skills.,1.0.16,3308905: Men and women can both excel in human computer interaction courses.,1.0.17,3308929: I would voluntarily take additional human computer interaction courses if I were given the opportunity.,1.0.18,3308931: A student who performs well in human computer interaction will probably not have a life outside of computers.,1.0.19,3308907: I think design and interaction is boring.,1.0.20,3308914: Design and interaction is an appropriate subject for both men and women to study.,1.0.21,3308921: I was encouraged to pursue a human computer interaction project/course/degree/career.,1.0.22,3308917: Women produce the same quality work in design and interaction as men.,1.0.23,3308928: I hope that I can find a career that does not require the use of design and interaction concepts.,1.0.24,3308911: I think design and interaction is interesting.,1.0.25,3308922: I can learn to understand design and interaction concepts.,1.0.26,3308919: I feel a strong attachment towards my own ethnic group.,1.0.27,3308926: I would not take additional human computer interaction courses if I were given the opportunity.,1.0.28,3308915: Men produce higher quality work in design and interaction than women.,1.0.29,3308933: Students who are skilled at human computer interaction are just as popular as other students.,1.0.30,3308927: The challenge of solving problems using design and interaction appeals to me.,1.0.31,3308903: I hope that my future career will require the use of design and interaction concepts.,1.0.32,3308920: I am active in organizations or social groups that include mostly members of my own ethnic group.,1.0.33,n correct,n incorrect,score
2289297,COSC 341 101 2020W,72450,2021-04-12 03:49:42 UTC,1,Strongly Disagree,0.0,Disagree,0.0,Strongly Disagree,0.0,Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Agree,0.0,Strongly Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Strongly Disagree,0.0,Agree,0.0,Agree,0.0,Strongly Agree,1.0,Agree,0.0,Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Agree,0.0,Disagree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,Disagree,0.0,Strongly Disagree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,Disagree,0.0,5,29,1.0
4006013,COSC 341 101 2020W,72450,2021-04-12 02:53:12 UTC,1,Strongly Disagree,0.0,Disagree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Agree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Disagree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Agree,0.0,Strongly Agree,1.0,Agree,0.0,Strongly Disagree,0.0,12,22,1.0
6165231,COSC 341 101 2020W,72450,2021-04-12 02:27:16 UTC,1,Strongly Disagree,0.0,Disagree,0.0,Strongly Disagree,0.0,Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Agree,0.0,Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Agree,0.0,Agree,0.0,Strongly Agree,1.0,Agree,0.0,Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Agree,0.0,Strongly Agree,1.0,Disagree,0.0,Disagree,0.0,Strongly Disagree,0.0,Agree,0.0,Disagree,0.0,Disagree,0.0,Disagree,0.0,7,27,1.0
3173918,COSC 341 101 2020W,72450,2021-04-12 02:24:44 UTC,1,Strongly Disagree,0.0,Disagree,0.0,Strongly Disagree,0.0,Disagree,0.0,Agree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Disagree,0.0,Strongly Disagree,0.0,Agree,0.0,Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Disagree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Disagree,0.0,14,20,1.0
3209321,COSC 341 101 2020W,72450,2021-04-12 01:16:25 UTC,1,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,19,15,1.0
6057512,COSC 341 101 2020W,72450,2021-04-12 00:55:58 UTC,1,Disagree,0.0,Disagree,0.0,Strongly Disagree,0.0,Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Agree,0.0,Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Disagree,0.0,Agree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Agree,0.0,Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Agree,0.0,Agree,0.0,Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Disagree,0.0,Strongly Disagree,0.0,Disagree,0.0,Agree,0.0,Strongly Agree,1.0,Agree,0.0,Disagree,0.0,9,25,1.0
3704966,COSC 341 101 2020W,72450,2021-04-12 00:41:06 UTC,1,Strongly Disagree,0.0,Disagree,0.0,Strongly Disagree,0.0,Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Agree,0.0,Disagree,0.0,Agree,0.0,Strongly Disagree,0.0,Disagree,0.0,Agree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Agree,0.0,Agree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Agree,0.0,Disagree,0.0,Agree,0.0,Strongly Agree,1.0,Agree,0.0,Disagree,0.0,Disagree,0.0,Agree,0.0,Agree,0.0,Strongly Agree,1.0,Agree,0.0,6,28,1.0
2861630,COSC 341 101 2020W,72450,2021-04-11 23:51:21 UTC,1,Disagree,0.0,Disagree,0.0,Disagree,0.0,Agree,0.0,Disagree,0.0,Agree,0.0,Disagree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,Disagree,0.0,Disagree,0.0,Agree,0.0,Disagree,0.0,Disagree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,Disagree,0.0,Disagree,0.0,Agree,0.0,Agree,0.0,Disagree,0.0,Agree,0.0,Agree,0.0,Disagree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,Disagree,0.0,Agree,0.0,Disagree,0.0,Disagree,0.0,Agree,0.0,0,34,1.0
1838508,COSC 341 101 2020W,72450,2021-04-11 23:48:21 UTC,1,Strongly Disagree,0.0,Disagree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Agree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Agree,0.0,Strongly Agree,1.0,Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Disagree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Agree,0.0,Strongly Agree,1.0,Disagree,0.0,14,20,1.0
8235486,COSC 341 101 2020W,72450,2021-04-11 23:31:29 UTC,1,Strongly Disagree,0.0,Disagree,0.0,Strongly Disagree,0.0,Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Agree,0.0,Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Agree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Agree,0.0,Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Agree,0.0,Strongly Agree,1.0,Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Agree,0.0,Disagree,0.0,Strongly Disagree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,Strongly Disagree,0.0,9,25,1.0
9176657,COSC 341 101 2020W,72450,2021-04-11 23:30:06 UTC,1,Strongly Disagree,0.0,Disagree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Agree,0.0,Strongly Agree,1.0,Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Agree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Agree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Agree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Agree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Agree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Disagree,0.0,12,22,1.0
4922245,COSC 341 101 2020W,72450,2021-04-11 22:33:13 UTC,1,Strongly Disagree,0.0,Agree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Agree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Agree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,14,20,1.0
1784979,COSC 341 101 2020W,72450,2021-04-11 20:44:03 UTC,1,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Agree,0.0,Strongly Agree,1.0,Disagree,0.0,Agree,0.0,Strongly Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Agree,0.0,Agree,0.0,Strongly Agree,1.0,Agree,0.0,Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Strongly Agree,1.0,Agree,0.0,Disagree,0.0,Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Agree,0.0,Agree,0.0,Disagree,0.0,8,26,1.0
8736180,COSC 341 101 2020W,72450,2021-04-11 20:15:10 UTC,1,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Agree,0.0,Strongly Disagree,0.0,Disagree,0.0,Agree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Agree,0.0,Agree,0.0,Strongly Agree,1.0,Agree,0.0,Strongly Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Agree,0.0,Strongly Agree,1.0,Disagree,0.0,Disagree,0.0,Strongly Disagree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,Disagree,0.0,6,28,1.0
7894105,COSC 341 101 2020W,72450,2021-04-11 19:55:49 UTC,1,Disagree,0.0,Disagree,0.0,Disagree,0.0,Disagree,0.0,Agree,0.0,Agree,0.0,Disagree,0.0,Agree,0.0,Disagree,0.0,Agree,0.0,Disagree,0.0,Disagree,0.0,Agree,0.0,Disagree,0.0,Disagree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,Disagree,0.0,Disagree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,Disagree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,Disagree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,0,34,1.0
8692236,COSC 341 101 2020W,72450,2021-04-11 18:20:00 UTC,1,Disagree,0.0,Agree,0.0,Strongly Disagree,0.0,Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Agree,0.0,Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Disagree,0.0,Agree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Agree,0.0,Agree,0.0,Strongly Agree,1.0,Agree,0.0,Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Strongly Agree,1.0,Agree,0.0,Disagree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,Disagree,0.0,6,28,1.0
3195820,COSC 341 101 2020W,72450,2021-04-11 05:28:15 UTC,1,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Agree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Disagree,0.0,17,17,1.0
9066340,COSC 341 101 2020W,72450,2021-04-11 03:03:52 UTC,1,Strongly Disagree,0.0,Disagree,0.0,Strongly Disagree,0.0,Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Agree,0.0,Agree,0.0,Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Agree,0.0,Strongly Disagree,0.0,Agree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Agree,0.0,Agree,0.0,11,23,1.0
2638547,COSC 341 101 2020W,72450,2021-04-11 02:39:51 UTC,1,Strongly Disagree,0.0,Disagree,0.0,Strongly Disagree,0.0,Disagree,0.0,Agree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Agree,0.0,Disagree,0.0,Agree,0.0,Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Agree,0.0,Agree,0.0,Strongly Agree,1.0,Agree,0.0,Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Agree,0.0,Strongly Agree,1.0,Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Agree,0.0,Disagree,0.0,Strongly Disagree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,Strongly Disagree,0.0,8,26,1.0
9810479,COSC 341 101 2020W,72450,2021-04-11 01:29:33 UTC,1,Strongly Disagree,0.0,Disagree,0.0,Strongly Disagree,0.0,Disagree,0.0,Agree,0.0,Strongly Agree,1.0,Agree,0.0,Agree,0.0,Disagree,0.0,Agree,0.0,Strongly Disagree,0.0,Disagree,0.0,Agree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Agree,0.0,Agree,0.0,Strongly Agree,1.0,Agree,0.0,Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Agree,0.0,Agree,0.0,Strongly Disagree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,Disagree,0.0,6,28,1.0
8717334,COSC 341 101 2020W,72450,2021-04-11 01:10:38 UTC,1,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Agree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Agree,0.0,18,16,1.0
5452575,COSC 341 101 2020W,72450,2021-04-11 00:42:31 UTC,1,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Agree,0.0,Agree,0.0,Strongly Agree,1.0,Disagree,0.0,Agree,0.0,Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Disagree,0.0,Agree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Agree,0.0,Strongly Agree,1.0,Disagree,0.0,Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Agree,0.0,Disagree,0.0,Disagree,0.0,9,25,1.0
8733315,COSC 341 101 2020W,72450,2021-04-10 22:37:20 UTC,1,Strongly Disagree,0.0,Disagree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Agree,0.0,Strongly Agree,1.0,Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Agree,0.0,Agree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Agree,0.0,Strongly Agree,1.0,Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Disagree,0.0,Disagree,0.0,Strongly Disagree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,11,23,1.0
5961204,COSC 341 101 2020W,72450,2021-04-10 20:48:10 UTC,1,Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Agree,0.0,Strongly Agree,1.0,29,5,1.0
3962285,COSC 341 101 2020W,72450,2021-04-10 18:04:43 UTC,1,Strongly Disagree,0.0,Disagree,0.0,Strongly Disagree,0.0,Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Agree,0.0,Strongly Disagree,0.0,Agree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Agree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Agree,0.0,Strongly Agree,1.0,Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Disagree,0.0,11,23,1.0
4121537,COSC 341 101 2020W,72450,2021-04-10 17:49:42 UTC,1,Strongly Disagree,0.0,Agree,0.0,Strongly Disagree,0.0,Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Agree,0.0,Disagree,0.0,Agree,0.0,Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Agree,0.0,Agree,0.0,Strongly Agree,1.0,Disagree,0.0,Strongly Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Strongly Agree,1.0,Agree,0.0,Agree,0.0,Agree,0.0,Disagree,0.0,Disagree,0.0,Strongly Disagree,0.0,Disagree,0.0,Agree,0.0,Agree,0.0,Disagree,0.0,5,29,1.0
6839112,COSC 341 101 2020W,72450,2021-04-10 04:57:21 UTC,1,Strongly Disagree,0.0,Disagree,0.0,Strongly Disagree,0.0,Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Agree,0.0,Disagree,0.0,Agree,0.0,Disagree,0.0,Disagree,0.0,Agree,0.0,Disagree,0.0,Strongly Disagree,0.0,Agree,0.0,Agree,0.0,Strongly Agree,1.0,Agree,0.0,Strongly Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Disagree,0.0,Agree,0.0,Agree,0.0,Disagree,0.0,Disagree,0.0,Disagree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,Disagree,0.0,5,29,1.0
8975820,COSC 341 101 2020W,72450,2021-04-10 04:46:52 UTC,1,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,17,17,1.0
4427100,COSC 341 101 2020W,72450,2021-04-10 04:10:06 UTC,1,Strongly Disagree,0.0,Disagree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Agree,0.0,Strongly Agree,1.0,Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Agree,0.0,Strongly Disagree,0.0,Agree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Agree,0.0,Strongly Disagree,0.0,Disagree,0.0,Agree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Disagree,0.0,13,21,1.0
8109799,COSC 341 101 2020W,72450,2021-04-10 02:39:56 UTC,1,Strongly Disagree,0.0,Disagree,0.0,Strongly Disagree,0.0,Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Agree,0.0,Agree,0.0,Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Strongly Disagree,0.0,Disagree,0.0,Agree,0.0,Strongly Disagree,0.0,Agree,0.0,Agree,0.0,Strongly Agree,1.0,Agree,0.0,Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Strongly Agree,1.0,Agree,0.0,Strongly Disagree,0.0,Disagree,0.0,Strongly Disagree,0.0,Agree,0.0,Agree,0.0,Agree,0.0,Strongly Disagree,0.0,6,28,1.0
6135450,COSC 341 101 2020W,72450,2021-04-10 02:28:17 UTC,1,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Agree,0.0,Strongly Agree,1.0,Disagree,0.0,Agree,0.0,Disagree,0.0,Strongly Agree,1.0,Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Agree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Strongly Disagree,0.0,Disagree,0.0,Strongly Agree,1.0,Agree,0.0,Strongly Agree,1.0,Strongly Disagree,0.0,Strongly Agree,1.0,Strongly Agree,1.0,Disagree,0.0,Strongly Disagree,0.0,Strongly Disagree,0.0,Strongly Agree,1.0,Agree,0.0,Agree,0.0,Disagree,0.0,11,23,1.0
